"intrctn_enq_id"	"intrctn_id"	"intrctn_dttm"	"intrctn_ln_item_seq_num"	"prev_intrctn_id"	"prev_intrctn_dttm"	"promo_ofr_id"	"promo_ofr_ref_int_id"	"promo_initv_id"	"promo_initv_ref_int_id"	"intrctn_type"	"intrctn_dirctn"	"intrctn_ctgry"	"intrctn_sub_ctgry"	"intrctn_ctgry_id"	"intrctn_reason"	"intrctn_begin_dttm"	"intrctn_end_dttm"	"terminal_nm"	"act_type_id"	"act_type_cd"	"act_type"	"act_id"	"emp_id"	"emp_nm"	"chnl_id"	"chnl_cd"	"chnl_nm"	"tch_pnt_id"	"tch_pnt_cd"	"tch_pnt_nm"	"cust_id"	"cust_ref_int_id"	"cust_nm"	"bsn_unit_id"	"bsn_unit_cd"	"bsn_unit_nm"	"locn_id"	"locn_cd"	"locn_nm"	"item_id"	"item_ref_int_id"	"item_nm"	"mrhrc_hier_grp_id"	"mrhrc_hier_grp_nm"	"st_id"	"st_cd"	"ofr_intrctn_type"	"intrctn_event"	"item_intrctn_type"	"intrctn_desc"	"batch_run_id"	"job_run_id"	"src_sys_id"	"src_sys_nm"	"tenant_id"	"rec_creat_by"	"rec_creat_dttm"
" 198802041001100003 "	"198802041001100003"	"1988-02-04 21:39:00"	1	"198802041001100003"	"1988-02-04 21:23:00"	"ID1618150004"	1618150004	"ID914920004"	914920004	"near_to_store"	"INBOUND"	"ENQUIRY"	"ACCESS"	"INTCATID_001"	"AWARENESS"	"1988-02-04 21:39:00"	"1988-02-04 21:39:00"	"COUNTER_NO_11"	12090001	"CD12090001"	"INTERACTION"	19880204103200000	50004	"CD50004"	380013	"CD380013"	"Geo-Spatial"	200004	"CD200004"	"In-Store"	"CUST100003"	100003	"Rowan Morris"	100031	"BSN_100031"	"AREA00031"	100003	"LCN_100003"	"N_LCN_A00003"	"CD5130001"	5130001	"NAN"	300001	"MRHRC L3 Group 1"	36	"S"	"SUSPECT"	"InStore_NearToInStore"	"AWARENESS"	"Probable customer activity"			"SRC1"		100001		"1988-02-04 21:39:00"
" 198802041001100002 "	"198802041001100002"	"1988-02-04 21:42:42"	1	"198802041001100002"	"1988-02-04 21:19:00"	"ID1618150003"	1618150003	"ID914920003"	914920003	"near_to_store"	"INBOUND"	"ENQUIRY"	"ACCESS"	"INTCATID_001"	"AWARENESS"	"1988-02-04 21:42:42"	"1988-02-04 21:42:42"	"COUNTER_NO_12"	12090001	"CD12090001"	"INTERACTION"	19880204103200000	50003	"CD50003"	380013	"CD380013"	"Geo-Spatial"	200004	"CD200004"	"In-Store"	"CUST100002"	100002	"Zane Harrison"	100004	"BSN_100004"	"AREA00004"	100010	"LCN_100010"	"N_LCN_A00010"	"CD5130001"	5130001	"NAN"	300001	"MRHRC L3 Group 1"	36	"S"	"SUSPECT"	"InStore_NearToInStore"	"AWARENESS"	"Probable customer activity"			"SRC1"		100001		"1988-02-04 21:42:42"
" 198802041006100001 "	"198802041006100001"	"1988-02-04 21:43:40"	1	"198802041006100001"	"1988-02-04 21:11:00"	"ID1618150002"	1618150002	"ID914920002"	914920002	"checkin"	"INBOUND"	"ENQUIRY"	"ACCESS"	"INTCATID_001"	"RESEARCH"	"1988-02-04 21:43:40"	"1988-02-04 21:43:40"	"COUNTER_NO_14"	12090001	"CD12090001"	"INTERACTION"	19880204103200000	50003	"CD50003"	380013	"CD380013"	"Geo-Spatial"	200004	"CD200004"	"In-Store"	"CUST100001"	100001	"Victoria Santana"	100043	"BSN_100043"	"AREA00043"	100011	"LCN_100011"	"N_LCN_A00011"	"CD5130001"	5130001	"NAN"	300001	"MRHRC L3 Group 1"	36	"S"	"SUSPECT"	"InStore_CheckIn"	"RESEARCH"	"Walked in to store"			"SRC1"		100001		"1988-02-04 21:43:40"
" 198802041006100004 "	"198802041006100004"	"1988-02-04 21:47:54"	1	"198802041006100004"	"1988-02-04 21:31:00"	"ID1618150005"	1618150005	"ID914920005"	914920005	"checkin"	"INBOUND"	"ENQUIRY"	"ACCESS"	"INTCATID_001"	"RESEARCH"	"1988-02-04 21:47:54"	"1988-02-04 21:47:54"	"COUNTER_NO_4"	12090001	"CD12090001"	"INTERACTION"	19880204103200000	50004	"CD50004"	380013	"CD380013"	"Geo-Spatial"	200004	"CD200004"	"In-Store"	"CUST100004"	100004	"Jakob Nichols"	100023	"BSN_100023"	"AREA00023"	100003	"LCN_100003"	"N_LCN_A00003"	"CD5130001"	5130001	"NAN"	300001	"MRHRC L3 Group 1"	36	"S"	"SUSPECT"	"InStore_CheckIn"	"RESEARCH"	"Walked in to store"			"SRC1"		100001		"1988-02-04 21:47:54"
" 198802041001100005 "	"198802041001100005"	"1988-02-04 21:50:06"	1	"198802041001100005"	"1988-02-04 21:41:00"	"ID1618150002"	1618150002	"ID914920002"	914920002	"near_to_store"	"INBOUND"	"ENQUIRY"	"ACCESS"	"INTCATID_001"	"AWARENESS"	"1988-02-04 21:50:06"	"1988-02-04 21:50:06"	"COUNTER_NO_1"	12090001	"CD12090001"	"INTERACTION"	19880204103200000	50004	"CD50004"	380013	"CD380013"	"Geo-Spatial"	200004	"CD200004"	"In-Store"	"CUST100005"	100005	"Selena Whitehead"	100039	"BSN_100039"	"AREA00039"	100010	"LCN_100010"	"N_LCN_A00010"	"CD5130001"	5130001	"NAN"	300001	"MRHRC L3 Group 1"	36	"S"	"SUSPECT"	"InStore_NearToInStore"	"AWARENESS"	"Probable customer activity"			"SRC1"		100001		"1988-02-04 21:50:06"
" 198802041006100007 "	"198802041006100007"	"1988-02-04 21:57:08"	1	"198802041006100007"	"1988-02-04 22:01:00"	"ID1618150002"	1618150002	"ID914920002"	914920002	"checkin"	"INBOUND"	"ENQUIRY"	"ACCESS"	"INTCATID_001"	"RESEARCH"	"1988-02-04 21:57:08"	"1988-02-04 21:57:08"	"COUNTER_NO_10"	12090001	"CD12090001"	"INTERACTION"	19880204103200000	50004	"CD50004"	380013	"CD380013"	"Geo-Spatial"	200004	"CD200004"	"In-Store"	"CUST100007"	100007	"Maurice Moon"	100020	"BSN_100020"	"AREA00020"	100011	"LCN_100011"	"N_LCN_A00011"	"CD5130001"	5130001	"NAN"	300001	"MRHRC L3 Group 1"	36	"S"	"SUSPECT"	"InStore_CheckIn"	"RESEARCH"	"Walked in to store"			"SRC1"		100001		"1988-02-04 21:57:08"
" 198802041006100006 "	"198802041006100006"	"1988-02-04 21:59:30"	1	"198802041006100006"	"1988-02-04 21:49:00"	"ID1618150005"	1618150005	"ID914920005"	914920005	"checkin"	"INBOUND"	"ENQUIRY"	"ACCESS"	"INTCATID_001"	"RESEARCH"	"1988-02-04 21:59:30"	"1988-02-04 21:59:30"	"COUNTER_NO_8"	12090001	"CD12090001"	"INTERACTION"	19880204103200000	50004	"CD50004"	380013	"CD380013"	"Geo-Spatial"	200004	"CD200004"	"In-Store"	"CUST100006"	100006	"Cristiano Mccullough"	100007	"BSN_100007"	"AREA00007"	100001	"LCN_100001"	"N_LCN_A00001"	"CD5130001"	5130001	"NAN"	300001	"MRHRC L3 Group 1"	36	"S"	"SUSPECT"	"InStore_CheckIn"	"RESEARCH"	"Walked in to store"			"SRC1"		100001		"1988-02-04 21:59:30"
" 198802041006100008 "	"198802041006100008"	"1988-02-04 22:09:52"	1	"198802041006100008"	"1988-02-04 22:13:00"	"ID1618150005"	1618150005	"ID914920005"	914920005	"checkin"	"INBOUND"	"ENQUIRY"	"ACCESS"	"INTCATID_001"	"RESEARCH"	"1988-02-04 22:09:52"	"1988-02-04 22:09:52"	"COUNTER_NO_2"	12090001	"CD12090001"	"INTERACTION"	19880204103200000	50002	"CD50002"	380013	"CD380013"	"Geo-Spatial"	200004	"CD200004"	"In-Store"	"CUST100008"	100008	"Sullivan Benjamin"	100004	"BSN_100004"	"AREA00004"	100009	"LCN_100009"	"N_LCN_A00009"	"CD5130001"	5130001	"NAN"	300001	"MRHRC L3 Group 1"	36	"S"	"SUSPECT"	"InStore_CheckIn"	"RESEARCH"	"Walked in to store"			"SRC1"		100001		"1988-02-04 22:09:52"
" 198802041006100011 "	"198802041006100011"	"1988-02-04 22:13:42"	1	"198802041006100011"	"1988-02-04 22:41:00"	"ID1618150004"	1618150004	"ID914920004"	914920004	"checkin"	"INBOUND"	"ENQUIRY"	"ACCESS"	"INTCATID_001"	"RESEARCH"	"1988-02-04 22:13:42"	"1988-02-04 22:13:42"	"COUNTER_NO_11"	12090001	"CD12090001"	"INTERACTION"	19880204103200000	50002	"CD50002"	380013	"CD380013"	"Geo-Spatial"	200004	"CD200004"	"In-Store"	"CUST100011"	100011	"Liana Little"	100034	"BSN_100034"	"AREA00034"	100005	"LCN_100005"	"N_LCN_A00005"	"CD5130001"	5130001	"NAN"	300001	"MRHRC L3 Group 1"	36	"S"	"SUSPECT"	"InStore_CheckIn"	"RESEARCH"	"Walked in to store"			"SRC1"		100001		"1988-02-04 22:13:42"
" 198802041002100002 "	"198802041002100002"	"1988-02-04 22:16:48"	2	"198802041001100002"	"1988-02-04 21:42:42"	"ID1618150005"	1618150005	"ID914920005"	914920005	"in_parking"	"INBOUND"	"ENQUIRY"	"ACCESS"	"INTCATID_001"	"RESEARCH"	"1988-02-04 22:16:48"	"1988-02-04 22:16:48"	"COUNTER_NO_12"	12090001	"CD12090001"	"INTERACTION"	19880204103200000	50003	"CD50003"	380013	"CD380013"	"Geo-Spatial"	200004	"CD200004"	"In-Store"	"CUST100002"	100002	"Zane Harrison"	100026	"BSN_100026"	"AREA00026"	100005	"LCN_100005"	"N_LCN_A00005"	"CD5130001"	5130001	"NAN"	300001	"MRHRC L3 Group 1"	36	"S"	"SUSPECT"	"InStore_InParking"	"RESEARCH"	"Probable customer activity"			"SRC1"		100001		"1988-02-04 22:16:48"
