intrctn_sr_id,intrctn_id,intrctn_ln_item_seq_num,intrctn_dttm,prev_intrctn_id,prev_intrctn_dttm,intrctn_type,intrctn_dirctn,intrctn_ctgry,intrctn_sub_ctgry,intrctn_ctgry_id,intrctn_reason,intrctn_begin_dttm,intrctn_end_dttm,act_type_id,act_type_cd,act_type,act_id,emp_id,emp_cd,terminal_nm,chnl_id,chnl_cd,chnl_nm,tch_pnt_id,tch_pnt_cd,tch_pnt_nm,cust_id,cust_ref_int_id,cust_nm,bsn_unit_id,bsn_unit_cd,bsn_unit_nm,locn_id,locn_cd,locn_nm,item_id,item_ref_int_id,item_nm,mrhrc_hier_grp_id,mrhrc_hier_grp_nm,sev_type,prio_type,intrctn_desc,st_id,st_cd,ofr_intrctn_type,intrctn_event,serv_req_creat_dt,tgt_resln_dt,assign_to_emp,assign_to_emp_nm,assign_dt,cust_escln_flg,cust_escln_dt,closure_dt,closure_rmrks,reopen_dt,reopen_rsn,reopen_rmrks,batch_run_id,job_run_id,src_sys_id,src_sys_nm,tenant_id,rec_creat_by,rec_creat_dttm
198802041306100001,198802041306100001,5,1988-02-04 23:05:22,198802041008100001,1988-02-04 23:05:16,complaints,INBOUND,COMPLAINT,COMPLAINT,INTCATID_012,COMPLAINT,1988-02-04 23:05:22,1988-02-04 23:05:22,12090003,CD12090003,SERVICE REQUEST,19880204103400001,50002,CD50002,COUNTER_NO_14,380015,CD380015,IVR,200005,CD200005,Contact Center,CUST100001,100001,Victoria Santana,200022,BSN_200022,SITE00022,200012,WEB_200012,N_WEB_A00012,CD5130226,5130226,Butterflies,200002,MRHRC L2 Group 2,HIGH,HIGH,Displays interest in product,36,S,CUSTOMER,CC_RaiseComplaints,1988-01-04 ,1988-01-06 ,50002,CD50002,1988-01-04 ,,,1988-01-06 ,Complaint Registered,1988-01-04 ,COMPLAINT,Raise Complaints,,,SRC1,,100001,,1988-02-04 23:05:22
198802041305100006,198802041305100006,7,1988-02-04 00:20:16,198802041008100006,1988-02-04 00:20:10,service_request,INBOUND,SERVICE_REQUEST,REQUEST,INTCATID_011,SERVICE REQUEST,1988-02-04 00:20:16,1988-02-04 00:20:16,12090003,CD12090003,SERVICE REQUEST,19880204103400006,50004,CD50004,COUNTER_NO_8,380015,CD380015,IVR,200005,CD200005,Contact Center,CUST100006,100006,Cristiano Mccullough,200014,BSN_200014,SITE00014,200006,WEB_200006,N_WEB_A00006,CD5130331,5130331,The Attic,200002,MRHRC L2 Group 2,MEDIUM,MEDIUM,Displays interest in product,36,S,CUSTOMER,CC_ServiceRequest,1988-01-04 ,1988-01-06 ,50004,CD50004,1988-01-04 ,,,1988-01-06 ,Service Request Registered,1988-01-04 ,SERVICE REQUEST,Service Request,,,SRC1,,100001,,1988-02-04 00:20:16
198802041305100043,198802041305100043,5,1988-02-04 02:14:28,198802041008100043,1988-02-04 02:14:22,service_request,INBOUND,SERVICE_REQUEST,REQUEST,INTCATID_011,SERVICE REQUEST,1988-02-04 02:14:28,1988-02-04 02:14:28,12090003,CD12090003,SERVICE REQUEST,19880204103400043,50003,CD50003,COUNTER_NO_2,380015,CD380015,IVR,200005,CD200005,Contact Center,CUST100043,100043,Matteo Duncan,200020,BSN_200020,SITE00020,200014,WEB_200014,N_WEB_A00014,CD5130023,5130023,Smart Tab 8 ,200002,MRHRC L2 Group 2,HIGH,MEDIUM,Displays interest in product,36,S,CUSTOMER,CC_ServiceRequest,1988-01-04 ,1988-01-06 ,50003,CD50003,1988-01-04 ,,,1988-01-06 ,Service Request Registered,1988-01-04 ,SERVICE REQUEST,Service Request,,,SRC1,,100001,,1988-02-04 02:14:28
198802041305100053,198802041305100053,4,1988-02-04 02:49:00,198802041008100053,1988-02-04 02:48:52,service_request,INBOUND,SERVICE_REQUEST,REQUEST,INTCATID_011,SERVICE REQUEST,1988-02-04 02:49:00,1988-02-04 02:49:00,12090003,CD12090003,SERVICE REQUEST,19880204103400053,50002,CD50002,COUNTER_NO_10,380015,CD380015,IVR,200005,CD200005,Contact Center,CUST100053,100053,Jaylah Cabrera,200036,BSN_200036,SITE00036,200006,WEB_200006,N_WEB_A00006,CD5130396,5130396,The Attic,200002,MRHRC L2 Group 2,HIGH,LOW,Displays interest in product,36,S,CUSTOMER,CC_ServiceRequest,1988-01-04 ,1988-01-06 ,50002,CD50002,1988-01-04 ,,,1988-01-06 ,Service Request Registered,1988-01-04 ,SERVICE REQUEST,Service Request,,,SRC1,,100001,,1988-02-04 02:49:00
198802041306100045,198802041306100045,7,1988-02-04 03:18:14,198802041008100045,1988-02-04 03:18:06,complaints,INBOUND,COMPLAINT,COMPLAINT,INTCATID_012,COMPLAINT,1988-02-04 03:18:14,1988-02-04 03:18:14,12090003,CD12090003,SERVICE REQUEST,19880204103400045,50004,CD50004,COUNTER_NO_2,380015,CD380015,IVR,200005,CD200005,Contact Center,CUST100045,100045,Kaitlin Anthony,200027,BSN_200027,SITE00027,200012,WEB_200012,N_WEB_A00012,CD5130351,5130351,The Attic,200002,MRHRC L2 Group 2,HIGH,LOW,Displays interest in product,36,S,CUSTOMER,CC_RaiseComplaints,1988-01-04 ,1988-01-06 ,50004,CD50004,1988-01-04 ,,,1988-01-06 ,Complaint Registered,1988-01-04 ,COMPLAINT,Raise Complaints,,,SRC1,,100001,,1988-02-04 03:18:14
198802041306100038,198802041306100038,8,1988-02-04 03:31:04,198802041008100038,1988-02-04 03:37:58,complaints,INBOUND,COMPLAINT,COMPLAINT,INTCATID_012,COMPLAINT,1988-02-04 03:31:04,1988-02-04 03:31:04,12090003,CD12090003,SERVICE REQUEST,19880204103400038,50002,CD50002,COUNTER_NO_13,380015,CD380015,IVR,200005,CD200005,Contact Center,CUST100038,100038,Joseph Chandler,200032,BSN_200032,SITE00032,200005,WEB_200005,N_WEB_A00005,CD5130147,5130147,Printed Casual,200002,MRHRC L2 Group 2,MEDIUM,LOW,Displays interest in product,36,S,CUSTOMER,CC_RaiseComplaints,1988-01-04 ,1988-01-06 ,50002,CD50002,1988-01-04 ,,,1988-01-06 ,Complaint Registered,1988-01-04 ,COMPLAINT,Raise Complaints,,,SRC1,,100001,,1988-02-04 03:31:04
198802041305100051,198802041305100051,6,1988-02-04 03:59:52,198802041008100051,1988-02-04 03:59:46,service_request,INBOUND,SERVICE_REQUEST,REQUEST,INTCATID_011,SERVICE REQUEST,1988-02-04 03:59:52,1988-02-04 03:59:52,12090003,CD12090003,SERVICE REQUEST,19880204103400051,50004,CD50004,COUNTER_NO_6,380015,CD380015,IVR,200005,CD200005,Contact Center,CUST100051,100051,Hayleigh Carter,200049,BSN_200049,SITE00049,200001,WEB_200001,N_WEB_A00001,CD5130199,5130199,Silk,200002,MRHRC L2 Group 2,MEDIUM,HIGH,Displays interest in product,36,S,CUSTOMER,CC_ServiceRequest,1988-01-04 ,1988-01-06 ,50004,CD50004,1988-01-04 ,,,1988-01-06 ,Service Request Registered,1988-01-04 ,SERVICE REQUEST,Service Request,,,SRC1,,100001,,1988-02-04 03:59:52
198802041306100079,198802041306100079,5,1988-02-04 06:00:08,198802041008100079,1988-02-04 06:00:02,complaints,INBOUND,COMPLAINT,COMPLAINT,INTCATID_012,COMPLAINT,1988-02-04 06:00:08,1988-02-04 06:00:08,12090003,CD12090003,SERVICE REQUEST,19880204103400079,50002,CD50002,COUNTER_NO_8,380015,CD380015,IVR,200005,CD200005,Contact Center,CUST100079,100079,Dustin Hubbard,200021,BSN_200021,SITE00021,200014,WEB_200014,N_WEB_A00014,CD5130333,5130333,Home Town,200002,MRHRC L2 Group 2,MEDIUM,LOW,Displays interest in product,36,S,CUSTOMER,CC_RaiseComplaints,1988-01-04 ,1988-01-06 ,50002,CD50002,1988-01-04 ,,,1988-01-06 ,Complaint Registered,1988-01-04 ,COMPLAINT,Raise Complaints,,,SRC1,,100001,,1988-02-04 06:00:08
198802041305100090,198802041305100090,6,1988-02-04 07:52:28,198802041008100090,1988-02-04 07:52:22,service_request,INBOUND,SERVICE_REQUEST,REQUEST,INTCATID_011,SERVICE REQUEST,1988-02-04 07:52:28,1988-02-04 07:52:28,12090003,CD12090003,SERVICE REQUEST,19880204103400090,50002,CD50002,COUNTER_NO_5,380015,CD380015,IVR,200005,CD200005,Contact Center,CUST100090,100090,Kobe Beck,200032,BSN_200032,SITE00032,200004,WEB_200004,N_WEB_A00004,CD5130070,5130070,Quad Core A8,200002,MRHRC L2 Group 2,MEDIUM,LOW,Displays interest in product,36,S,CUSTOMER,CC_ServiceRequest,1988-01-04 ,1988-01-06 ,50002,CD50002,1988-01-04 ,,,1988-01-06 ,Service Request Registered,1988-01-04 ,SERVICE REQUEST,Service Request,,,SRC1,,100001,,1988-02-04 07:52:28
198802041306100118,198802041306100118,5,1988-02-04 09:35:54,198802041008100118,1988-02-04 09:35:48,complaints,INBOUND,COMPLAINT,COMPLAINT,INTCATID_012,COMPLAINT,1988-02-04 09:35:54,1988-02-04 09:35:54,12090003,CD12090003,SERVICE REQUEST,19880204103400118,50002,CD50002,COUNTER_NO_3,380015,CD380015,IVR,200005,CD200005,Contact Center,CUST100118,100118,Nia Wilkins,200021,BSN_200021,SITE00021,200009,WEB_200009,N_WEB_A00009,CD5130395,5130395,Evok,200002,MRHRC L2 Group 2,MEDIUM,MEDIUM,Displays interest in product,36,S,CUSTOMER,CC_RaiseComplaints,1988-01-04 ,1988-01-06 ,50002,CD50002,1988-01-04 ,,,1988-01-06 ,Complaint Registered,1988-01-04 ,COMPLAINT,Raise Complaints,,,SRC1,,100001,,1988-02-04 09:35:54
