trans_id,trans_dttm,prev_trans_id,prev_trans_dttm,trans_type_id,trans_type_cd,trans_type_nm,act_type_id,act_type_cd,act_type,act_id,ret_locn_id,ret_locn_cd,ret_locn_nm,delv_locn_id,delv_locn_cd,delv_locn_nm,cust_id,cust_ref_int_id,cust_nm,ln_item_scan_cnt,ln_item_keyed_cnt,unit_cnt,recpt_dttm,chnl_id,chnl_cd,chnl_nm,tch_pnt_id,tch_pnt_cd,tch_pnt_nm,crncy_cd,frg_crncy_cd,tot_amt,tax_amt,net_amt,frg_crncy_tot_amt,frg_crncy_tax_amt,frg_crncy_net_amt,emp_id,emp_cd,bsn_unit_id,bsn_unit_cd,bsn_unit_nm,terminal_nm,trans_begin_dttm,trans_end_dttm,st_id,st_cd,trans_desc,delv_mode,pay_st_id,pay_st_cd,gift_flag,batch_run_id,job_run_id,src_sys_id,src_sys_nm,tenant_id,rec_creat_by,rec_creat_dttm
19880204100001,1988-02-04 23:05:16,19880204100001,1988-02-04 23:05:16,2018002,CD2018002,Return,12090002,CD12090002,TRANSACTION,19880204103300001,121530001,CD121530001,Selling Location,30150001,CD30150001,HOME,CUST100001,100001,Victoria Santana,27.9204,83.5345,111.455,1988-02-04 23:05:16,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,USD,USD,1753.95,14.5,1944.69,1753.95,14.5,1944.69,50002,CD50002,100025,BSN_100025,AREA00025,COUNTER_NO_14,1988-02-04 23:05:16,1988-02-04 23:05:16,31,S,Return of an item,Store Counter,34,C,t,,,SRC1,,100001,,1988-02-04 23:05:16
19880204100011,1988-02-04 23:18:24,19880204100011,1988-02-04 23:18:24,2018002,CD2018002,Return,12090002,CD12090002,TRANSACTION,19880204103300011,121530001,CD121530001,Selling Location,30150001,CD30150001,HOME,CUST100011,100011,Liana Little,78.8697,73.6686,152.538,1988-02-04 23:18:24,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,USD,USD,754.373,14.5,841.88,754.373,14.5,841.88,50004,CD50004,100030,BSN_100030,AREA00030,COUNTER_NO_11,1988-02-04 23:18:24,1988-02-04 23:18:24,31,S,Return of an item,Post,34,C,t,,,SRC1,,100001,,1988-02-04 23:18:24
19880204100007,1988-02-04 23:50:16,19880204100007,1988-02-04 23:50:16,2018001,CD2018001,Sale,12090002,CD12090002,TRANSACTION,19880204103300007,121530001,CD121530001,Selling Location,30150001,CD30150001,HOME,CUST100007,100007,Maurice Moon,91.0452,13.5732,104.618,1988-02-04 23:50:16,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,USD,USD,272.478,14.5,304.085,272.478,14.5,304.085,50004,CD50004,100020,BSN_100020,AREA00020,COUNTER_NO_10,1988-02-04 23:50:16,1988-02-04 23:50:16,31,S,Regular Sale,Post,34,C,t,,,SRC1,,100001,,1988-02-04 23:50:16
19880204100008,1988-02-04 00:09:00,19880204100008,1988-02-04 00:09:00,2018004,CD2018004,Void,12090002,CD12090002,TRANSACTION,19880204103300008,121530001,CD121530001,Selling Location,30150001,CD30150001,HOME,CUST100008,100008,Sullivan Benjamin,4.79075,33.3369,38.1277,1988-02-04 00:09:00,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,USD,USD,1868.49,14.5,2112.32,1868.49,14.5,2112.32,50003,CD50003,100049,BSN_100049,AREA00049,COUNTER_NO_2,1988-02-04 00:09:00,1988-02-04 00:09:00,31,S,Null transactions,Ex-Warehouse,34,C,t,,,SRC1,,100001,,1988-02-04 00:09:00
19880204100006,1988-02-04 00:20:10,19880204100006,1988-02-04 00:20:10,2018003,CD2018003,Merchandise service/sale,12090002,CD12090002,TRANSACTION,19880204103300006,121530001,CD121530001,Selling Location,30150001,CD30150001,HOME,CUST100006,100006,Cristiano Mccullough,39.1124,34.5313,73.6437,1988-02-04 00:20:10,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,USD,USD,394.244,14.5,437.118,394.244,14.5,437.118,50003,CD50003,100042,BSN_100042,AREA00042,COUNTER_NO_8,1988-02-04 00:20:10,1988-02-04 00:20:10,31,S,Merchandise transactions,Ex-Warehouse,34,C,t,,,SRC1,,100001,,1988-02-04 00:20:10
19880204100024,1988-02-04 01:09:44,19880204100024,1988-02-04 01:09:44,2018001,CD2018001,Sale,12090002,CD12090002,TRANSACTION,19880204103300024,121530001,CD121530001,Selling Location,30150001,CD30150001,HOME,CUST100024,100024,Veronica Ewing,83.8964,48.9622,132.859,1988-02-04 01:09:44,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,USD,USD,335.463,14.5,371.944,335.463,14.5,371.944,50004,CD50004,100013,BSN_100013,AREA00013,COUNTER_NO_13,1988-02-04 01:09:44,1988-02-04 01:09:44,31,S,Regular Sale,Post,34,C,t,,,SRC1,,100001,,1988-02-04 01:09:44
19880204100012,1988-02-04 01:08:00,19880204100012,1988-02-04 01:08:00,2018004,CD2018004,Void,12090002,CD12090002,TRANSACTION,19880204103300012,121530001,CD121530001,Selling Location,30150001,CD30150001,HOME,CUST100012,100012,Emma Sanford,97.6953,97.6205,195.316,1988-02-04 01:08:00,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,USD,USD,890.09,14.5,986.887,890.09,14.5,986.887,50002,CD50002,100031,BSN_100031,AREA00031,COUNTER_NO_14,1988-02-04 01:08:00,1988-02-04 01:08:00,31,S,Null transactions,Store Counter,34,C,t,,,SRC1,,100001,,1988-02-04 01:08:00
19880204100036,1988-02-04 01:15:48,19880204100036,1988-02-04 01:15:48,2018004,CD2018004,Void,12090002,CD12090002,TRANSACTION,19880204103300036,121530001,CD121530001,Selling Location,30150001,CD30150001,HOME,CUST100036,100036,Princess Bray,66.0876,93.1563,159.244,1988-02-04 01:15:48,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,USD,USD,1104.94,14.5,1225.1,1104.94,14.5,1225.1,50004,CD50004,100018,BSN_100018,AREA00018,COUNTER_NO_8,1988-02-04 01:15:48,1988-02-04 01:15:48,31,S,Null transactions,Store Counter,34,C,t,,,SRC1,,100001,,1988-02-04 01:15:48
19880204100028,1988-02-04 01:35:10,19880204100028,1988-02-04 01:35:10,2018004,CD2018004,Void,12090002,CD12090002,TRANSACTION,19880204103300028,121530001,CD121530001,Selling Location,30150001,CD30150001,HOME,CUST100028,100028,Royce Tillman,14.1596,7.85758,22.0171,1988-02-04 01:35:10,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,USD,USD,378.949,14.5,420.16,378.949,14.5,420.16,50004,CD50004,100037,BSN_100037,AREA00037,COUNTER_NO_3,1988-02-04 01:35:10,1988-02-04 01:35:10,31,S,Null transactions,Ex-Warehouse,34,C,t,,,SRC1,,100001,,1988-02-04 01:35:10
19880204100005,1988-02-04 01:39:26,19880204100005,1988-02-04 01:39:26,2018004,CD2018004,Void,12090002,CD12090002,TRANSACTION,19880204103300005,121530001,CD121530001,Selling Location,30150001,CD30150001,HOME,CUST100005,100005,Selena Whitehead,1.39853,39.3869,40.7855,1988-02-04 01:39:26,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,USD,USD,78.4067,14.5,86.9334,78.4067,14.5,86.9334,50002,CD50002,100036,BSN_100036,AREA00036,COUNTER_NO_1,1988-02-04 01:39:26,1988-02-04 01:39:26,31,S,Null transactions,Post,34,C,t,,,SRC1,,100001,,1988-02-04 01:39:26
